Player,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,ID,Pos,2PA,2PM,2P_pc
Alec Burks,4.9,11.6,41.8,1.8,4.6,38.5,3.6,4.0,88.7,0.7,3.5,4.3,2.9,0.9,0.3,1.4,burksal01,SG,7.0,3.1000000000000005,0.44285714285714295
Eric Bledsoe,5.5,11.5,47.5,1.2,3.5,34.4,2.8,3.5,79.0,0.7,3.9,4.6,5.4,0.9,0.4,2.4,bledser01,PG,8.0,4.3,0.5375
Jonas Valanciunas,6.2,10.6,58.5,0.5,1.3,35.2,2.1,2.9,74.0,3.0,8.2,11.3,1.9,0.4,1.1,1.8,valanjo01,C,9.299999999999999,5.7,0.6129032258064517
Lauri Markkanen,5.0,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,1.2,5.1,6.3,1.5,0.8,0.5,1.6,markkla01,PF,5.500000000000001,2.8,0.5090909090909089
Terrence Ross,4.9,12.3,40.3,2.6,7.3,35.1,2.3,2.7,85.3,0.2,3.0,3.2,1.2,1.1,0.3,1.0,rosste01,SG,5.000000000000001,2.3000000000000003,0.45999999999999996
Harrison Barnes,5.1,11.0,46.0,1.4,3.7,38.1,3.0,3.7,80.1,1.1,3.9,4.9,2.2,0.6,0.2,1.2,barneha02,SF,7.3,3.6999999999999997,0.5068493150684932
Joe Harris,5.5,11.4,48.6,2.5,5.9,42.4,0.9,1.3,71.9,0.9,3.4,4.3,2.1,0.6,0.2,1.5,harrijo01,SG,5.5,3.0,0.5454545454545454
Aaron Gordon,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,1.7,5.9,7.7,3.7,0.8,0.6,1.6,gordoaa01,SF,8.600000000000001,4.2,0.48837209302325574
RJ Barrett,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,1.0,0.3,2.2,barrerj01,SG,9.5,4.1,0.431578947368421
Eric Paschall,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,1.4,3.2,4.6,2.1,0.5,0.2,1.6,pascher01,PF,8.5,4.7,0.5529411764705883
Josh Richardson,5.1,11.7,43.0,1.5,4.5,34.1,2.1,2.6,80.9,0.7,2.4,3.2,2.9,0.9,0.7,1.9,richajo01,SG,7.199999999999999,3.5999999999999996,0.5
