Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
Tyler Herro,4.90,11.50,42.80,2.10,5.40,38.90,1.60,1.80,87.00,0.30,3.80,4.10,2.20,0.60,0.20,1.60
Duncan Robinson,4.40,9.40,47.00,3.70,8.30,44.60,0.90,1.00,93.10,0.10,3.00,3.20,1.40,0.50,0.30,1.00
Coby White,4.80,12.20,39.40,2.00,5.80,35.40,1.60,2.00,79.10,0.40,3.10,3.50,2.70,0.80,0.10,1.70
Christian Wood,4.60,8.20,56.70,0.90,2.30,38.60,2.90,3.90,74.40,1.70,4.60,6.30,1.00,0.50,0.90,1.40
Ricky Rubio,4.40,10.60,41.50,1.20,3.30,36.10,3.00,3.50,86.30,0.70,4.00,4.70,8.80,1.40,0.20,2.70
Miles Bridges,4.90,11.60,42.40,1.50,4.60,33.00,1.60,2.00,80.90,1.40,4.20,5.60,1.80,0.60,0.70,1.50
Marcus Smart,4.30,11.40,37.50,2.30,6.60,34.70,2.10,2.50,83.60,0.70,3.10,3.80,4.90,1.70,0.50,1.70
Kyle Kuzma,4.80,11.00,43.60,1.40,4.50,31.60,1.90,2.50,73.50,0.90,3.60,4.50,1.30,0.50,0.40,1.50
Damion Lee,4.30,10.40,41.70,1.70,4.90,35.60,2.20,2.60,87.30,0.70,4.20,4.90,2.70,1.00,0.10,1.40
Robert Covington,4.40,10.30,42.20,2.30,6.90,33.50,1.40,1.80,79.80,0.90,5.70,6.60,1.30,1.60,1.30,1.50
Seth Curry,4.40,9.00,49.50,2.30,5.00,45.20,1.30,1.50,82.50,0.40,1.80,2.30,1.90,0.60,0.10,1.00
De'Andre Hunter,4.40,10.80,41.00,1.70,4.80,35.50,1.70,2.30,76.40,0.70,3.80,4.50,1.80,0.70,0.30,1.60
Darius Garland,4.70,11.80,40.10,1.80,5.00,35.50,1.10,1.20,87.50,0.50,1.40,1.90,3.90,0.70,0.10,2.60
P.J. Washington,4.60,10.20,45.50,1.50,4.00,37.40,1.50,2.30,64.70,1.00,4.40,5.40,2.10,0.90,0.80,1.60
Kevin Huerter,4.50,10.90,41.30,2.30,6.00,38.00,0.90,1.10,82.80,0.60,3.40,4.10,3.80,0.90,0.50,1.60
Markelle Fultz,5.00,10.70,46.50,0.50,1.90,26.70,1.60,2.20,73.00,0.60,2.70,3.30,5.10,1.30,0.20,2.00
Myles Turner,4.30,9.50,45.70,1.40,4.00,34.40,2.00,2.70,75.10,1.40,5.20,6.60,1.20,0.70,2.10,1.40
Taurean Prince,4.30,11.50,37.60,2.30,6.70,33.90,1.10,1.40,79.80,0.80,5.20,6.00,1.80,0.90,0.40,2.00
Brandon Clarke,5.10,8.30,61.80,0.40,1.10,35.90,1.50,1.90,75.90,1.60,4.40,5.90,1.40,0.60,0.80,0.90
Tristan Thompson,5.10,9.90,51.20,0.20,0.40,39.10,1.70,2.80,61.50,4.00,6.20,10.10,2.10,0.60,0.90,1.80
Jerami Grant,4.30,8.90,47.80,1.40,3.50,38.90,2.10,2.80,75.00,0.80,2.70,3.50,1.20,0.70,0.80,0.90
Brook Lopez,4.30,9.90,43.50,1.50,4.80,31.40,1.90,2.20,83.60,0.90,3.70,4.60,1.50,0.70,2.40,1.00
Al Horford,4.80,10.60,45.00,1.50,4.20,35.00,0.90,1.20,76.30,1.50,5.30,6.80,4.00,0.80,0.90,1.20
Lonzo Ball,4.40,10.90,40.30,2.30,6.30,37.50,0.70,1.20,56.60,1.10,5.00,6.10,7.00,1.40,0.60,3.10
