ID,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,2PA,2PM,2P_pc
youngth01,0.31632653061224486,0.32835820895522394,0.28117359413202936,0.2727272727272727,0.282258064516129,0.35600000000000004,0.0404040404040404,0.061403508771929835,0.2249070631970259,0.3255813953488372,0.2476190476190476,0.26950354609929084,0.14285714285714288,0.6499999999999999,0.13793103448275865,0.30434782608695654,0.28729281767955805,0.29032258064516137,0.3981414828872458
mcderdo01,0.28571428571428564,0.25373134328358216,0.37897310513447435,0.43181818181818177,0.34677419354838707,0.435,0.0404040404040404,0.03508771929824561,0.6802973977695167,0.06976744186046512,0.1142857142857143,0.09929078014184396,0.07142857142857145,0.05,0.03448275862068966,0.08695652173913043,0.16022099447513816,0.18279569892473121,0.5186615186615187
gallola01,0.2551020408163265,0.26865671641791045,0.24938875305623476,0.45454545454545453,0.4032258064516129,0.399,0.08080808080808083,0.07894736842105263,0.7379182156133829,0.09302325581395347,0.08571428571428572,0.08510638297872337,0.11224489795918369,0.3,0.06896551724137932,0.08695652173913043,0.13812154696132595,0.13978494623655918,0.3764478764478769
monkma01,0.28571428571428564,0.3034825870646767,0.24694376528117357,0.25,0.29838709677419356,0.284,0.12121212121212124,0.12280701754385964,0.6654275092936802,0.09302325581395347,0.14285714285714282,0.12765957446808512,0.17346938775510207,0.2,0.10344827586206896,0.2608695652173913,0.24861878453038674,0.2688172043010753,0.47490347490347506
portibo01,0.2959183673469387,0.3034825870646767,0.2860635696821515,0.22727272727272727,0.2258064516129032,0.358,0.08080808080808083,0.08771929824561402,0.5594795539033456,0.25581395348837205,0.2857142857142857,0.28368794326241137,0.11224489795918369,0.2,0.10344827586206896,0.19565217391304351,0.2983425414364641,0.29032258064516137,0.3554655357934047
hartjo01,0.2448979591836734,0.26865671641791045,0.22004889975550113,0.43181818181818177,0.43548387096774194,0.342,0.10101010101010102,0.12280701754385964,0.5148698884758366,0.18604651162790697,0.44761904761904747,0.3829787234042554,0.1326530612244898,0.45,0.13793103448275865,0.21739130434782608,0.11602209944751377,0.13978494623655918,0.5592939878654173
nancela02,0.30612244897959173,0.2437810945273632,0.4841075794621027,0.22727272727272727,0.2258064516129032,0.35200000000000004,0.06060606060606062,0.07894736842105263,0.3977695167286245,0.4186046511627906,0.4285714285714286,0.43971631205673756,0.18367346938775514,0.45,0.13793103448275865,0.19565217391304351,0.23204419889502767,0.30107526881720437,0.7160192262233078
mclembe01,0.23469387755102034,0.2437810945273632,0.2713936430317848,0.5681818181818181,0.5161290322580645,0.4,0.0404040404040404,0.043859649122807015,0.5278810408921931,0.04651162790697673,0.0952380952380952,0.07801418439716314,0.040816326530612256,0.25,0.06896551724137932,0.10869565217391305,0.03314917127071823,0.06451612903225809,0.8687258687258688
porteke02,0.26530612244897955,0.2786069651741294,0.26650366748166265,0.25,0.25806451612903225,0.335,0.12121212121212124,0.14035087719298245,0.4851301115241634,0.06976744186046512,0.1809523809523809,0.14893617021276595,0.18367346938775514,0.4,0.10344827586206896,0.3695652173913043,0.24861878453038674,0.24731182795698928,0.3764478764478767
satorto01,0.2551020408163265,0.28358208955223885,0.23716381418092902,0.22727272727272727,0.25,0.322,0.13131313131313135,0.13157894736842105,0.7695167286245351,0.25581395348837205,0.17142857142857146,0.19858156028368795,0.5102040816326532,0.5499999999999999,0.03448275862068966,0.391304347826087,0.2596685082872928,0.24731182795698928,0.329043329043329
