Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Taurean Prince,37.6,33.9,79.8,0.8,5.2,1.8,0.9,0.4,2.0,princta02,SF,0.4166666666666667
Brandon Clarke,61.8,35.9,75.9,1.6,4.4,1.4,0.6,0.8,0.9,clarkbr01,PF,0.6527777777777776
Tristan Thompson,51.2,39.1,61.5,4.0,6.2,2.1,0.6,0.9,1.8,thomptr01,PF,0.5157894736842105
Jerami Grant,47.8,38.9,75.0,0.8,2.7,1.2,0.7,0.8,0.9,grantje01,SF,0.537037037037037
Brook Lopez,43.5,31.4,83.6,0.9,3.7,1.5,0.7,2.4,1.0,lopezbr01,C,0.5490196078431372
Al Horford,45.0,35.0,76.3,1.5,5.3,4.0,0.8,0.9,1.2,horfoal01,C,0.515625
Lonzo Ball,40.3,37.5,56.6,1.1,5.0,7.0,1.4,0.6,3.1,balllo01,PG,0.4565217391304348
Glenn Robinson III,48.6,39.1,86.0,1.3,3.0,1.5,0.9,0.3,0.9,robingl02,SG-SF,0.5396825396825397
Patty Mills,43.1,38.2,86.6,0.3,1.3,1.8,0.8,0.1,0.8,millspa02,PG,0.5333333333333333
Nemanja Bjelica,48.1,41.9,82.1,1.5,4.8,2.8,0.9,0.6,1.4,bjeline01,PF,0.5319148936170215
Derrick White,45.8,36.6,85.3,0.5,2.8,3.5,0.6,0.9,1.3,whitede01,SG,0.5102040816326531
Bryn Forbes,41.7,38.8,83.3,0.2,1.8,1.7,0.5,0.0,0.9,forbebr01,SG,0.4687500000000001
Malik Beasley,42.5,38.8,81.8,0.3,2.4,1.4,0.7,0.1,1.0,beaslma01,SG,0.4680851063829787
Jarrett Allen,64.9,0.0,63.3,3.1,6.5,1.6,0.6,1.3,1.1,allenja01,C,0.6615384615384615
Cody Zeller,52.4,24.0,68.2,2.8,4.3,1.5,0.7,0.4,1.3,zelleco01,C,0.5714285714285714
Cedi Osman,43.7,38.3,67.0,0.6,3.0,2.4,0.8,0.2,1.4,osmande01,SF,0.4888888888888888
Dejounte Murray,46.2,36.9,79.8,1.0,4.8,4.1,1.7,0.3,1.9,murrade01,PG,0.4875
Ish Smith,44.7,36.7,72.1,0.4,2.8,4.9,0.9,0.4,1.4,smithis01,PG,0.4736842105263158
Jeff Teague,43.6,36.8,87.3,0.5,1.9,5.2,0.7,0.3,2.0,teaguje01,PG,0.4603174603174603
Steven Adams,59.2,33.3,58.2,3.3,6.0,2.3,0.8,1.1,1.5,adamsst01,C,0.5921052631578948
Rudy Gay,44.6,33.6,88.2,0.9,4.5,1.7,0.5,0.5,1.3,gayru01,SF,0.5178571428571428
Dario Saric,47.6,35.7,84.4,1.5,4.6,1.9,0.6,0.2,1.3,saricda01,PF,0.5652173913043478
OG Anunoby,50.5,39.0,70.6,1.2,4.1,1.6,1.4,0.7,1.1,anunoog01,SF,0.5714285714285715
Jae Crowder,40.1,34.3,77.6,0.8,5.1,2.5,1.1,0.4,1.1,crowdja01,SF-PF,0.5384615384615385
Cam Reddish,38.4,33.2,80.2,0.6,3.1,1.5,1.1,0.5,1.7,reddica01,SF,0.4339622641509434
D.J. Augustin,39.9,34.8,89.0,0.4,1.8,4.6,0.6,0.0,1.5,augusdj01,PG,0.4347826086956522
Danuel House Jr.,42.7,36.3,81.1,0.9,3.3,1.3,1.1,0.5,0.9,houseda01,SF,0.5666666666666668
Troy Brown Jr.,43.9,34.1,78.4,1.1,4.4,2.6,1.2,0.1,1.1,browntr01,SF,0.484375
Gary Harris,42.0,33.3,81.5,0.5,2.4,2.1,1.4,0.3,1.1,harriga01,SG,0.4727272727272726
Garrett Temple,37.8,32.9,80.5,0.5,3.0,2.5,0.8,0.5,1.0,templga01,SG,0.4848484848484849
Shabazz Napier,41.2,31.7,82.4,0.5,2.4,4.7,1.2,0.2,2.3,napiesh01,PG,0.5263157894736842
Thaddeus Young,44.8,35.6,58.3,1.5,3.5,1.8,1.4,0.4,1.6,youngth01,PF,0.5084745762711864
Doug McDermott,48.8,43.5,82.8,0.4,2.1,1.1,0.2,0.1,0.6,mcderdo01,SF,0.5555555555555555
Langston Galloway,43.5,39.9,85.9,0.5,1.8,1.5,0.7,0.2,0.6,gallola01,SG,0.5000000000000001
Malik Monk,43.4,28.4,82.0,0.5,2.4,2.1,0.5,0.3,1.4,monkma01,SG,0.5384615384615384
Bobby Portis,45.0,35.8,76.3,1.2,3.9,1.5,0.5,0.3,1.1,portibo01,PF,0.4918032786885245
Josh Hart,42.3,34.2,73.9,0.9,5.6,1.7,1.0,0.4,1.2,hartjo01,SG,0.5714285714285717
Larry Nance Jr.,53.1,35.2,67.6,1.9,5.4,2.2,1.0,0.4,1.1,nancela02,PF,0.6326530612244897
Ben McLemore,44.4,40.0,74.6,0.3,1.9,0.8,0.6,0.2,0.7,mclembe01,SG,0.6923076923076923
Kevin Porter Jr.,44.2,33.5,72.3,0.4,2.8,2.2,0.9,0.3,1.9,porteke02,SF,0.5
Tomas Satoransky,43.0,32.2,87.6,1.2,2.7,5.4,1.2,0.1,2.0,satorto01,SG,0.4814814814814814
Joe Ingles,44.5,39.9,78.7,0.4,3.5,5.2,0.9,0.2,2.0,inglejo01,SF,0.5
Furkan Korkmaz,43.0,40.2,75.5,0.3,2.1,1.1,0.6,0.2,0.8,korkmfu01,SG,0.4827586206896552
Mitchell Robinson,74.2,0.0,56.8,3.0,4.0,0.6,0.9,2.0,0.6,robinmi01,C,0.7321428571428571
Markieff Morris,44.3,38.6,77.6,0.7,3.1,1.3,0.5,0.3,1.3,morrima02,PF,0.5
Dorian Finney-Smith,46.6,37.6,72.2,2.0,3.7,1.6,0.6,0.5,1.0,finnedo01,SF,0.5806451612903224
Aaron Holiday,41.4,39.4,85.1,0.3,2.0,3.4,0.8,0.2,1.3,holidaa01,PG,0.4230769230769231
George Hill,51.6,46.0,84.2,0.8,2.2,3.1,0.8,0.1,1.0,hillge01,PG,0.5588235294117646
Kentavious Caldwell-Pope,46.7,38.5,77.5,0.6,1.5,1.6,0.8,0.2,0.9,caldwke01,SG,0.5526315789473684
Michael Porter Jr.,50.9,42.2,83.3,1.2,3.5,0.8,0.5,0.5,0.9,portemi01,SF,0.5581395348837209
Marquese Chriss,54.5,20.5,76.9,1.9,4.3,1.9,0.7,1.1,1.3,chrisma01,PF,0.603448275862069
Landry Shamet,40.4,37.5,85.5,0.1,1.8,1.9,0.4,0.2,0.8,shamela01,SG,0.4999999999999998
Daniel Theis,56.6,33.3,76.3,2.2,4.4,1.7,0.6,1.3,0.8,theisda01,C,0.627450980392157
Donte DiVincenzo,45.5,33.6,73.3,1.0,3.8,2.3,1.3,0.3,1.4,divindo01,SG,0.55
Jarrett Culver,40.4,29.9,46.2,1.1,2.3,1.7,0.9,0.6,1.3,culveja01,SG,0.4909090909090909
